Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Nnabu Eze,Maryland,Republican,no,Senate,eze4senate,
Lorie R. Friend,Maryland,Republican,no,Senate,LorieFriendGOP,
Reba A. Hawkins,Maryland,Republican,no,Senate,NA,
Jon McGreevey,Maryland,Republican,no,Senate,NA,
Joseph Perez,Maryland,Republican,no,Senate,NA,
Todd A. Puglisi,Maryland,Republican,no,Senate,ForPuglisi,
James Tarantin,Maryland,Republican,no,Senate,JamesTarantin,
John Thormann,Maryland,Republican,no,Senate,thormann4senate ; john_thormann,
Ron William Harris,Missouri,Democratic,no,Senate,NA,
Jewel Kelly,Missouri,Democratic,no,Senate,JewelCommittee,
Pat Kelly,Missouri,Democratic,no,Senate,NA,
Lucas Kunce,Missouri,Democratic,no,Senate,LucasKunceMO,
Lewis Rolen,Missouri,Democratic,no,Senate,rolenlewis1,
Gena Ross,Missouri,Democratic,no,Senate,GenaRossforMO6,
Josh Shipp,Missouri,Democratic,no,Senate,NA,
Clarence Taylor,Missouri,Democratic,no,Senate,NA,
Spencer Toder,Missouri,Democratic,no,Senate,SpencerToder,
Carla Coffee Wright,Missouri,Democratic,no,Senate,NA,
Trudy Busch Valentine,Missouri,Democratic,no,Senate,buschvalentine,
Robert Allen,Missouri,Republican,no,Senate,NA,
Russel Pealer Breyfogle Jr.,Missouri,Republican,no,Senate,NA,
Eric Greitens,Missouri,Republican,no,Senate,EricGreitens,
C.W. Gardner,Missouri,Republican,no,Senate,NA,
Vicky Hartzler,Missouri,Republican,no,Senate,RepHartzler,
Rickey Joiner,Missouri,Republican,no,Senate,NA,
Patrick A. Lewis,Missouri,Republican,no,Senate,NA,
Billy Long,Missouri,Republican,no,Senate,USRepLong ; auctnr1,
Mark McCloskey,Missouri,Republican,no,Senate,mccloskeyusa,
Eric McElroy,Missouri,Republican,no,Senate,wrathoferic,
Bernie Mowinsk,Missouri,Republican,no,Senate,BERNIEMOW,
Robert Olson,Missouri,Republican,no,Senate,NA,
Deshon Porter,Missouri,Republican,no,Senate,bigdzone,
Dave Schatz,Missouri,Republican,no,Senate,DaveSchatzMO,
Kevin C. Schepers,Missouri,Republican,no,Senate,NA,
Eric S. Schmitt,Missouri,Republican,no,Senate,Eric_Schmitt ; AGEricSchmitt,
Dave Sims,Missouri,Republican,no,Senate,NA,
Hartford Tunnell,Missouri,Republican,no,Senate,NA,
Curtis D. Vaughn,Missouri,Republican,no,Senate,Curtis4Missouri,
Catherine Cortez Masto,Nevada,Democratic,yes,Senate,CortezMasto ; SenCortezMasto,
Stephanie Kasheta,Nevada,Democratic,no,Senate,NA,
Corey Reid,Nevada,Democratic,no,Senate,NA,
Sam Brown,Nevada,Republican,no,Senate,CaptainSamBrown,
William Conrad,Nevada,Republican,no,Senate,billconradus,
Bill Hockstedler,Nevada,Republican,no,Senate,billhockstedler,
Adam Laxalt,Nevada,Republican,no,Senate,AdamLaxalt,
Sharelle Mendenhall,Nevada,Republican,no,Senate,Sharelle4Senate,
Tyler Perkins,Nevada,Republican,no,Senate,NA,
Carlo Poliak,Nevada,Republican,no,Senate,NA,
Paul Rodriguez,Nevada,Republican,no,Senate,NA,
Maggie Hassan,New Hampshire,Democratic,yes,Senate,Maggie_Hassan ; SenatorHassan,
Gerard Beloin,New Hampshire,Republican,no,Senate,NA,
Donald C. Bolduc,New Hampshire,Republican,no,Senate,GenDonBolduc,
Bruce Fenton,New Hampshire,Republican,no,Senate,brucefenton,
Chuck Morse,New Hampshire,Republican,no,Senate,Morse4Senate,
Tejasinha Sivalingam,New Hampshire,Republican,no,Senate,NA,
Kevin Smith,New Hampshire,Republican,no,Senate,TeamSmithforNH ; NHkevinsmith,
Edmund LaPlante,New Hampshire,Republican,no,Senate,NA,
Vikram Marshamani,New Hampshire,Republican,no,Senate,NA,
Chuck Schumer,New York,Democratic,yes,Senate,SenSchumer ; chuckschumer,yes
Joe Pinion,New York,Republican,no,Senate,JosephPinion,yes
Greg Antoine,North Carolina,Democratic,no,Senate,GregforNC,no
Chrelle Booker,North Carolina,Democratic,no,Senate,ChrelleBooker,no
Cheri Beasley,North Carolina,Democratic,no,Senate,CheriBeasleyNC,yes
James L. Carr Jr.,North Carolina,Democratic,no,Senate,carrjr4senate,no
Robert Colon,North Carolina,Democratic,no,Senate,NA,no
Alyssia Rose-Katherine Hammond,North Carolina,Democratic,no,Senate,Alyssia_Hammond,no
Constance Lov Johnson,North Carolina,Democratic,no,Senate,FashShowDinner,no
Tobias LaGrone,North Carolina,Democratic,no,Senate,tobias_lagrone,no
B. K. Maginnis,North Carolina,Democratic,no,Senate,bkmaginnis,no
Rett Newton,North Carolina,Democratic,no,Senate,RettNewton,no
Marcus W. Williams,North Carolina,Democratic,no,Senate,Marc7Marcus,no
Jen Banwart,North Carolina,Republican,no,Senate,Jen4SenNC,no
Lee Brian,North Carolina,Republican,no,Senate,NA,no
Leonard Bryant,North Carolina,Republican,no,Senate,NA,no
Ted Budd,North Carolina,Republican,no,Senate,RepTedBudd,yes
Drew Bulecza,North Carolina,Republican,no,Senate,Cowboy4Congress,no
Marjorie K. Eastman,North Carolina,Republican,no,Senate,MarjorieKEastmn,no
David Flaherty,North Carolina,Republican,no,Senate,NA,no
Benjamin Griffiths,North Carolina,Republican,no,Senate,NA,no
Kenneth Harper,North Carolina,Republican,no,Senate,ncvoteharper,no
Pat McCrory,North Carolina,Republican,no,Senate,PatMcCroryNC,no
Charles Kenneth Moss,North Carolina,Republican,no,Senate,NA,no
Lichia Sibhatu,North Carolina,Republican,no,Senate,Lichia4ussenate,no
Debora Tshiovo,North Carolina,Republican,no,Senate,TshiovoM,no
Mark Walker,North Carolina,Republican,no,Senate,RepMarkWalker,no
Katrina Christiansen,North Dakota,Democratic,no,Senate,katrina_senate,
Michael Steele,North Dakota,Democratic,no,Senate,j_senate,
John Hoeven,North Dakota,Republican,yes,Senate,SenJohnHoeven,
Riley Kuntz,North Dakota,Republican,no,Senate,NA,
Tim Ryan,Ohio,Democratic,no,Senate,RepTimRyan,
J. D. Vance,Ohio,Republican,no,Senate,JDVance1,
Arya Azma,Oklahoma,Democratic,no,Senate,NA,
Dennis Baker,Oklahoma,Democratic,no,Senate,NA,
Jason Bollinger,Oklahoma,Democratic,no,Senate,Jason_Bollinger,
Jo Glenn,Oklahoma,Democratic,no,Senate,glennforsenate,
Madison Horn,Oklahoma,Democratic,no,Senate,madisonhornok,
Brandon Wade,Oklahoma,Democratic,no,Senate,NA,
Jackson Lahmeyer,Oklahoma,Republican,no,Senate,JacksonLahmeyer,
James Lankford,Oklahoma,Republican,yes,Senate,jameslankford ; SenatorLankford,
Will Barlow,Oregon,Democratic,no,Senate,WmBarlowIII,no
Brent Thompson,Oregon,Democratic,no,Senate,NA,no
Ron Wyden,Oregon,Democratic,yes,Senate,RonWyden ; WydenForOregon,yes
